Sample Names	MutationType	0	1	2	3	4	5	6	7
EOC1022_pOme1_DNA1	139.0	0.0	0.0	0.0	0.9724382260479135	0.0	0.0	0.0	0.027561773952086456
EOC1022_pOme1_DNA1	210.0	0.0	0.0	0.0	0.8521919660285852	0.0	0.0	0.0	0.1478080339714149
EOC1022_pOme1_DNA1	343.0	0.0	0.0	0.0	0.3722450281947833	0.0	0.0	0.0	0.6277549718052168
EOC1022_pOme1_DNA1	29.0	0.0	0.0	0.0	0.013336705337784478	0.0	0.0	0.0	0.9866632946622156
EOC1022_pOme1_DNA1	70.0	0.0	0.0	0.0	0.05206606968014087	0.0	0.0	0.0	0.9479339303198592
EOC1022_pOme1_DNA1	28.0	0.0	0.0	0.0	0.7910805074086525	0.0	0.0	0.0	0.20891949259134748
EOC1022_pOme1_DNA1	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
EOC1022_pOme1_DNA1	3.0	0.0	0.0	0.0	0.9997416049980413	0.0	0.0	0.0	0.000258395001958619
EOC1022_pOme1_DNA1	407.0	0.0	0.0	0.0	0.7612452325389578	0.0	0.0	0.0	0.23875476746104213
EOC1022_pOme1_DNA1	34.0	0.0	0.0	0.0	0.7233994794013505	0.0	0.0	0.0	0.2766005205986494
EOC1022_pOme1_DNA1	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
EOC1022_pOme1_DNA1	9.0	0.0	0.0	0.0	0.034769326797936394	0.0	0.0	0.0	0.9652306732020636
EOC1022_pOme1_DNA1	13.0	0.0	0.0	0.0	0.009026400421080235	0.0	0.0	0.0	0.9909735995789197
EOC1022_pOme1_DNA1	18.0	0.0	0.0	0.0	0.22420275566128467	0.0	0.0	0.0	0.7757972443387153
EOC1022_pOme1_DNA1	6.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
EOC1022_pOme1_DNA1	172.0	0.0	0.0	0.0	0.015352584419034445	0.0	0.0	0.0	0.9846474155809655
EOC1022_pOme1_DNA1	330.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
EOC1022_pOme1_DNA1	106.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
EOC1022_pOme1_DNA1	63.0	0.0	0.0	0.0	0.9722829435503322	0.0	0.0	0.0	0.02771705644966789
EOC1022_pOme1_DNA1	17.0	0.0	0.0	0.0	0.9999960437851056	0.0	0.0	0.0	3.956214894374799e-06
EOC1022_pPer1_DNA1	74.0	0.0	0.2806637637337153	0.406062547302057	0.21987272169185995	0.0	0.0	0.0	0.0934009672723677
EOC1022_pPer1_DNA1	133.0	0.0	0.06322810637088055	0.05785267666857915	0.5390929256482008	0.0	0.0	0.0	0.3398262913123396
EOC1022_pPer1_DNA1	83.0	0.0	0.18045251720072847	0.21980092674896665	0.4453242698894068	0.0	0.0	0.0	0.15442228616089806
EOC1022_pPer1_DNA1	201.0	0.0	0.23260028563480348	0.33261873255035695	0.3047346260489066	0.0	0.0	0.0	0.13004635576593296
EOC1022_pPer1_DNA1	48.0	0.0	0.17578013951450305	0.0763965408693464	0.35982733232807523	0.0	0.0	0.0	0.38799598728807533
EOC1022_pPer1_DNA1	32.0	0.0	0.005053030131218428	0.04951602636470891	0.22023305543059746	0.0	0.0	0.0	0.7251978880734753
EOC1022_pPer1_DNA1	11.0	0.0	0.7984901129666568	0.0017683055559236343	0.1726454374346003	0.0	0.0	0.0	0.027096144042819237
EOC1022_pPer1_DNA1	7.0	0.0	0.7314827822410511	0.009139848241553608	0.17887680201146752	0.0	0.0	0.0	0.08050056750592786
EOC1022_pPer1_DNA1	4.0	0.0	0.691927559400632	0.05523530405445087	0.24510063118118644	0.0	0.0	0.0	0.007736505363730694
EOC1022_pPer1_DNA1	10.0	0.0	0.10819630869999333	0.16866769773326534	0.3269363864776876	0.0	0.0	0.0	0.3961996070890537
EOC1022_pPer1_DNA1	4.0	0.0	0.21691984271002016	0.45152072195669973	0.05456680750274345	0.0	0.0	0.0	0.2769926278305367
EOC1022_pPer1_DNA1	3.0	0.0	0.048349375331604404	0.22829181348949731	0.25343542434065613	0.0	0.0	0.0	0.469923386838242
EOC1022_pPer1_DNA1	7.0	0.0	0.029359525198880354	0.29145993819815985	0.6791803904971573	0.0	0.0	0.0	1.4610580260949272e-07
EOC1022_pPer1_DNA1	4.0	0.0	0.0	0.7970173692882631	0.027239612486823744	0.0	0.0	0.0	0.1757430182249132
EOC1022_pPer1_DNA1	4.0	0.0	0.012918125189386818	0.9209479276353637	0.06339361956303846	0.0	0.0	0.0	0.00274032761221105
EOC1022_pPer1_DNA1	2.0	0.0	0.3569579423251864	0.27454088923508396	0.3380800778115072	0.0	0.0	0.0	0.030421090628222482
EOC1022_pPer1_DNA1	0.0	0.0	0.37653372320607853	0.5319053855202015	0.0458181438697095	0.0	0.0	0.0	0.04574274740401043
EOC1022_pPer1_DNA1	0.0	0.0	0.5960603948931588	0.15023758278939287	0.1565649995827728	0.0	0.0	0.0	0.09713702273467559
EOC1022_pPer1_DNA1	10.0	0.0	0.16447097323083634	0.036113254608053355	0.5420589130221446	0.0	0.0	0.0	0.25735685913896555
EOC1022_pPer1_DNA1	34.0	0.0	0.12375938031878386	0.04372611526866947	0.0	0.0	0.0	0.0	0.8325145044125466
EOC1022_pPer1_DNA1	1.13282575928935	0.0	0.09974464804444291	0.053524616980044584	0.08560010087371443	0.0	0.0	0.0	0.761130634101798
EOC1022_pPer1_DNA1	1.70029802282402	0.0	0.06744410908260982	0.05558885670043055	0.10178935100077233	0.0	0.0	0.0	0.7751776832161872
EOC1022_pPer1_DNA1	0.0	0.0	0.7506884786495108	0.2295782252147957	0.015078814360982216	0.0	0.0	0.0	0.00465448177471124
EOC1022_pPer1_DNA1	139.0	0.0	0.5116177327351621	0.02968549920577218	0.4470324841321268	0.0	0.0	0.0	0.011664283926938948
EOC1022_pPer1_DNA1	210.0	0.0	0.07407966577135823	0.4631901822572366	0.39901740877330416	0.0	0.0	0.0	0.06371274319810098
EOC1022_pPer1_DNA1	343.0	0.0	0.16513496162253083	0.2506597662412301	0.2288745962858034	0.0	0.0	0.0	0.3553306758504357
EOC1022_pPer1_DNA1	29.0	0.0	0.0011939625614765198	0.0015145215384380303	0.014431038977160008	0.0	0.0	0.0	0.9828604769229254
EOC1022_pPer1_DNA1	70.0	0.0	0.059367499368239464	0.018221585962019476	0.05193494290798722	0.0	0.0	0.0	0.8704759717617538
EOC1022_pPer1_DNA1	28.0	0.0	0.2856037438941348	0.25224858649329873	0.3717624100636343	0.0	0.0	0.0	0.09038525954893226
EOC1022_pPer1_DNA1	3.0	0.0	0.19060655797488996	0.6285456540071022	0.18084778801800797	0.0	0.0	0.0	0.0
EOC1022_pPer1_DNA1	3.0	0.0	0.1015424164192495	0.2977043671899265	0.60061030627247	0.0	0.0	0.0	0.00014291011835378806
EOC1022_pPer1_DNA1	407.0	0.0	0.09591820928359555	0.14462841691578707	0.5893008516785226	0.0	0.0	0.0	0.1701525221220947
EOC1022_pPer1_DNA1	34.0	0.0	0.20663420368795016	0.37805315059042705	0.30718280584720514	0.0	0.0	0.0	0.10812983987441754
EOC1022_pPer1_DNA1	4.0	0.0	0.45595478924301736	0.5440451279233146	0.0	0.0	0.0	0.0	8.283366801105304e-08
EOC1022_pPer1_DNA1	9.0	0.0	0.02203580422350002	0.02473235782508487	0.03589390144309265	0.0	0.0	0.0	0.9173379365083226
EOC1022_pPer1_DNA1	13.0	0.0	0.005128109962792701	0.00144128197362321	0.009732856802687644	0.0	0.0	0.0	0.9836977512608964
EOC1022_pPer1_DNA1	18.0	0.0	0.17538976183832092	0.04657863975234517	0.1858862219107794	0.0	0.0	0.0	0.5921453764985546
EOC1022_pPer1_DNA1	6.0	0.0	0.25676031687470824	0.3959212751631802	0.3473184079621115	0.0	0.0	0.0	0.0
EOC1022_pPer1_DNA1	172.0	0.0	0.24409161210518857	0.04387105018445825	0.011858664210854623	0.0	0.0	0.0	0.7001786734994986
EOC1022_pPer1_DNA1	330.0	0.0	0.33641801851937625	0.44114199047434005	0.0	0.0	0.0	0.0	0.22243999100628375
EOC1022_pPer1_DNA1	106.0	0.0	0.04108954493612601	0.08026776215317928	0.8786426929106947	0.0	0.0	0.0	0.0
EOC1022_pPer1_DNA1	63.0	0.0	0.002836103784437947	0.001312275659373597	0.9703849398913754	0.0	0.0	0.0	0.025466680664813043
EOC1022_pPer1_DNA1	17.0	0.0	2.709396744020445e-07	1.5902604760350306e-06	0.9999944966898578	0.0	0.0	0.0	3.6421099916572698e-06
EOC1067_pOme1_DNA3	74.0	0.0	0.6706293220058501	0.0	0.0	0.22957369430146693	0.0	0.0	0.09979698369268297
EOC1067_pOme1_DNA3	133.0	0.0	0.09995450061459733	0.0	0.0	0.6598200567533558	0.0	0.0	0.24022544263204684
EOC1067_pOme1_DNA3	83.0	0.0	0.25501104789143764	0.0	0.0	0.6474055675586485	0.0	0.0	0.09758338454991389
EOC1067_pOme1_DNA3	201.0	0.0	0.5072105166802939	0.0	0.0	0.3659816620991149	0.0	0.0	0.1268078212205912
EOC1067_pOme1_DNA3	48.0	0.0	0.38062914604488024	0.0	0.0	0.24368112860696814	0.0	0.0	0.37568972534815165
EOC1067_pOme1_DNA3	32.0	0.0	0.009882857554561501	0.0	0.0	0.3558721800645331	0.0	0.0	0.6342449623809054
EOC1067_pOme1_DNA3	11.0	0.0	0.984020992685475	0.0	0.0	0.0010472074303992667	0.0	0.0	0.014931799884125598
EOC1067_pOme1_DNA3	7.0	0.0	0.8883611523542068	0.0	0.0	0.06792145616392165	0.0	0.0	0.04371739148187151
EOC1067_pOme1_DNA3	4.0	0.0	0.4854947114370372	0.0	0.0	0.5120779041799238	0.0	0.0	0.0024273843830389936
EOC1067_pOme1_DNA3	10.0	0.0	0.07272448627751392	0.0	0.0	0.8081918723300063	0.0	0.0	0.11908364139247984
EOC1067_pOme1_DNA3	4.0	0.0	0.2750848143592652	0.0	0.0	0.567840791216884	0.0	0.0	0.15707439442385088
EOC1067_pOme1_DNA3	3.0	0.0	0.17198243743067795	0.0	0.0	0.08055380548937058	0.0	0.0	0.7474637570799515
EOC1067_pOme1_DNA3	7.0	0.0	0.14636275358936038	0.0	0.0	0.8536369207098168	0.0	0.0	3.25700822914274e-07
EOC1067_pOme1_DNA3	4.0	0.0	0.0	0.0	0.0	0.061428116004867306	0.0	0.0	0.9385718839951327
EOC1067_pOme1_DNA3	4.0	0.0	0.8776323865724575	0.0	0.0	0.039117374795800935	0.0	0.0	0.08325023863174172
EOC1067_pOme1_DNA3	2.0	0.0	0.44012675474797536	0.0	0.0	0.5431004537670518	0.0	0.0	0.01677279148497265
EOC1067_pOme1_DNA3	0.0	0.0	0.5318246881803145	0.0	0.0	0.4392847019922936	0.0	0.0	0.02889060982739198
EOC1067_pOme1_DNA3	0.0	0.0	0.9312544501830335	0.0	0.0	0.0008826003554241405	0.0	0.0	0.06786294946154219
EOC1067_pOme1_DNA3	10.0	0.0	0.3535997610502116	0.0	0.0	0.3989839456441715	0.0	0.0	0.24741629330561685
EOC1067_pOme1_DNA3	34.0	0.0	0.057494495837428994	0.0	0.0	0.7695597913831577	0.0	0.0	0.1729457127794133
